ticker,R,start,end,break_date,year,base_len,dir,confirmed,delisted,break_close,base_hi,base_lo,range_ratio,drift,pos_in_band,rsi_end,vol_contraction,prior_dd,above_ma200,phaseB_weeks,break_bar_pct,mad_med,cv,mid_share,pre_vol,spring,b_idx,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,pos_L8,ma_L8,slope_L8,rsi_L8,hl_L8,wk_since_low_L8,pos_L13,ma_L13,slope_L13,rsi_L13,hl_L13,wk_since_low_L13,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52
A,1.5,2009-11-13,2010-12-17,2010-12-24,2010,58,UP,True,False,25.94,25.61,17.07,1.5,0.37,1.0,75.1,0.6,-0.05,True,23,1.3,0.0753,0.0991,0.552,0.0644,False,103,0.0155,0.044,0.21,1.32,1.17,0.03,0.8,False,-0.01,62.0,0,14,0.37,False,-0.141,52.1,0.0,9.0,7.2,False,2.2,-0.1,3.2,-0.2,18.1,False,16.2,15.8,18.4,-0.2,-13.9,False,-16.6,-24.0,-17.2,-24.3
A,1.5,2021-03-12,2022-06-10,2022-06-17,2022,66,DOWN,True,False,109.23,173.03,115.59,1.5,-0.17,0.02,38.2,1.9,-0.06,True,41,-6.5,0.0827,0.107,0.53,0.0406,False,702,0.0155,0.0464,0.19,1.06,2.04,0.0,0.1,False,-0.128,36.4,0,57,0.16,False,-0.106,35.8,0.0,52.0,15.4,False,9.6,16.3,9.9,22.3,32.9,False,27.3,29.1,32.7,39.7,8.2,False,-13.9,-42.7,-26.8,39.9
A,1.5,2023-02-03,2024-05-10,2024-05-17,2024,67,UP,False,False,151.55,150.53,100.65,1.5,0.09,0.93,64.3,1.39,-0.42,True,29,3.0,0.0702,0.095,0.672,0.0408,False,802,0.0269,0.0434,0.38,0.93,1.72,0.04,0.88,True,0.177,69.2,1,20,0.6,True,0.164,59.2,1.0,15.0,-9.0,False,-14.1,-16.2,-14.3,-17.9,-17.3,False,-28.7,-21.5,-27.6,-17.9,-25.7,False,-39.3,-33.2,-41.8,-33.1
A,1.5,2025-04-25,2026-08-14,2026-08-21,2026,69,UP,True,False,159.0,152.58,105.21,1.45,0.32,0.91,65.3,1.56,-0.31,True,69,7.0,0.0851,0.1027,0.493,0.0416,False,920,0.0305,0.0275,0.36,1.2,2.05,0.03,0.46,False,-0.062,52.2,1,60,0.13,False,-0.171,38.4,0.0,55.0,,,,,,,,,,,,,,,,,,
AA,1.5,2009-07-31,2010-05-28,2010-06-04,2010,44,DOWN,True,False,23.01,35.96,24.09,1.49,0.08,0.05,39.4,0.78,-0.04,,21,-6.9,0.0524,0.0882,0.636,0.1,False,74,0.0852,0.0311,1.63,1.15,0.52,0.02,0.57,True,0.012,56.1,0,35,0.31,True,0.092,48.4,0.0,30.0,0.6,False,-3.7,3.8,-1.6,7.2,31.9,False,15.7,8.5,11.9,31.9,48.1,False,23.6,16.7,22.2,66.4
AA,1.5,2011-09-23,2014-02-14,2014-02-21,2014,126,UP,True,False,25.99,25.43,16.96,1.5,-0.11,0.97,71.1,0.55,-0.56,True,25,3.2,0.0586,0.0993,0.437,0.0454,False,268,0.0164,0.0785,0.28,1.66,1.29,0.01,0.64,True,0.13,70.2,1,16,0.38,True,0.043,62.0,1.0,11.0,15.5,False,11.6,10.3,14.9,0.0,40.8,False,31.5,22.4,29.7,0.0,35.7,False,18.5,2.9,13.3,0.0
AA,1.5,2015-07-24,2016-04-15,2016-04-22,2016,39,UP,False,False,23.52,23.03,15.47,1.49,-0.17,0.95,56.0,1.02,-0.6,False,13,3.9,0.0456,0.0945,0.487,0.0379,False,381,0.0136,0.0683,0.3,1.13,1.2,0.03,0.31,False,-0.09,42.3,0,4,0.0,False,-0.066,32.8,0.0,0.0,1.9,False,-2.6,-12.4,-2.6,-12.1,-13.3,False,-16.8,-38.6,-22.3,-14.8,28.1,False,13.5,-18.1,5.2,-14.8
AA,1.5,2016-11-11,2017-08-25,2017-09-01,2017,42,UP,True,False,42.8,39.16,26.68,1.47,0.38,1.0,69.2,0.63,-0.31,True,35,9.3,0.0696,0.0874,0.714,0.0677,False,452,0.0203,0.06,0.29,1.01,1.03,0.05,0.45,False,-0.079,51.9,0,26,0.51,True,0.005,53.5,0.0,21.0,-7.5,False,-14.8,-19.2,-13.6,-7.5,1.1,False,-8.6,-20.2,-13.1,-8.1,-0.8,False,-20.1,-25.0,-29.7,-10.5
AA,1.5,2019-05-10,2020-01-17,2020-01-24,2020,37,DOWN,True,False,14.74,23.79,16.61,1.43,-0.37,0.03,35.2,0.99,-0.71,False,37,-12.3,0.0645,0.0872,0.73,0.057,False,577,0.0349,0.0259,0.54,1.07,1.13,0.03,0.41,False,-0.028,44.5,1,13,0.54,False,-0.147,47.1,0.0,8.0,-53.9,False,-40.5,-43.2,-50.1,3.8,-17.8,False,-16.4,-25.8,-33.0,3.8,25.1,False,6.4,-39.2,-22.1,61.1
AA,1.5,2022-10-07,2023-04-28,2023-05-05,2023,30,DOWN,True,False,34.74,53.26,35.7,1.49,-0.06,0.0,40.8,1.3,-0.59,True,9,-2.7,0.0959,0.1146,0.5,0.0948,False,748,0.0283,0.0894,0.3,0.84,1.01,0.03,1.0,True,0.136,57.8,0,20,0.89,True,0.067,55.3,0.0,15.0,-5.8,False,-14.5,-29.8,-21.2,0.1,-25.9,False,-32.0,-46.1,-40.1,0.1,3.1,False,-22.6,-73.0,-32.7,3.4
AA,1.5,2023-06-23,2024-03-29,2024-04-05,2024,41,UP,True,False,35.55,33.5,22.73,1.47,-0.23,0.95,58.7,1.17,-0.74,False,23,8.0,0.0835,0.1062,0.61,0.083,True,796,0.0635,0.0725,0.76,1.1,1.01,0.02,0.55,True,0.048,48.7,0,14,0.95,False,-0.117,57.4,0.0,9.0,16.6,False,9.3,-4.6,3.8,-3.5,7.8,False,-3.4,-3.5,-3.1,-21.4,-31.2,False,-29.9,-12.8,-27.8,-31.2
AA,1.5,2025-02-21,2025-10-03,2025-10-10,2025,33,UP,True,False,34.75,34.23,22.98,1.49,0.26,1.0,60.6,0.47,-0.57,False,25,1.5,0.0742,0.1033,0.455,0.0639,False,875,0.0176,0.0298,0.24,1.16,1.16,0.0,0.63,False,-0.012,49.5,0,16,0.72,False,-0.201,51.8,0.0,11.0,82.3,False,75.7,62.3,75.9,0.0,109.4,False,104.8,74.7,105.5,0.0,,,,,,
AA,2.0,2009-05-29,2011-12-09,2011-12-16,2011,133,DOWN,False,False,18.95,38.28,19.25,1.99,0.16,0.08,37.4,0.95,-0.23,False,36,-8.6,0.144,0.1741,0.541,0.1027,False,154,0.0477,0.0399,0.33,0.83,1.4,0.02,0.14,False,-0.267,32.8,1,124,0.29,False,-0.168,32.6,1.0,119.0,20.0,False,4.1,-2.0,-1.5,22.5,0.7,False,-10.6,-10.3,-14.5,22.5,0.5,False,-18.1,-14.7,-18.2,22.5
AA,2.0,2013-10-25,2015-11-06,2015-11-13,2015,107,DOWN,False,False,17.99,38.89,19.59,1.98,-0.05,0.05,37.0,1.17,-0.21,False,51,-12.1,0.2005,0.2045,0.439,0.0277,False,358,0.0257,0.0287,0.13,1.01,7.24,0.04,0.11,False,-0.224,31.6,2,3,0.06,False,-0.179,21.4,2.0,90.0,-3.3,False,4.0,6.4,7.1,26.7,16.0,False,13.8,16.2,19.3,40.4,54.8,False,45.6,21.7,48.2,54.8
AA,2.0,2017-06-23,2018-11-30,2018-12-07,2018,76,DOWN,True,False,27.39,57.02,29.54,1.93,-0.02,0.02,36.9,1.85,-0.19,False,33,-9.4,0.0701,0.1416,0.671,0.0598,False,518,0.0407,0.094,0.58,0.78,1.17,0.03,0.38,False,-0.147,45.1,1,67,0.47,False,-0.11,47.4,1.0,62.0,-6.9,False,-11.7,-21.9,-13.3,4.7,-25.6,False,-35.9,-44.1,-38.3,4.7,-28.5,False,-50.4,-81.1,-56.7,4.7
AA,2.0,2021-12-10,2022-06-24,2022-07-01,2022,29,DOWN,False,False,42.77,87.67,46.47,1.89,0.01,0.02,39.0,1.14,-0.13,True,14,-9.3,0.1385,0.1954,0.448,0.09,False,704,0.0634,0.0947,0.46,0.85,1.54,0.0,0.44,True,0.484,49.6,0,20,1.0,True,0.443,71.4,0.0,15.0,-24.7,False,-18.8,-19.1,-19.6,25.0,2.0,False,0.8,-2.7,7.2,25.0,-23.5,False,-41.7,-80.7,-55.4,25.0
AA,2.0,2023-03-10,2024-11-22,2024-11-29,2024,90,UP,False,False,45.61,44.66,22.73,1.97,0.22,1.0,64.8,1.05,-0.74,True,57,2.1,0.1368,0.164,0.589,0.0897,False,830,0.0365,0.085,0.27,1.06,1.53,0.01,0.77,False,-0.12,57.6,1,48,0.51,True,0.058,48.4,1.0,43.0,-28.4,False,-27.3,-24.9,-28.2,-28.4,-42.0,False,-40.4,-41.4,-44.1,-49.6,-9.0,False,-23.7,-55.1,-31.1,-49.6
AA,3.0,2020-01-24,2020-11-06,2020-11-13,2020,42,UP,True,False,15.75,15.3,5.21,2.94,0.27,0.84,57.3,0.37,-0.91,False,34,14.8,0.1728,0.262,0.429,0.0551,False,619,0.0489,0.0705,0.28,0.92,3.14,0.0,0.8,True,0.651,55.2,0,25,0.87,True,0.211,59.8,0.0,20.0,30.7,False,20.6,0.1,14.9,0.0,139.6,False,122.4,119.8,127.1,0.0,214.0,False,181.7,159.5,177.6,0.0
AA,3.0,2021-03-12,2023-08-11,2023-08-18,2023,127,DOWN,True,False,28.0,87.67,29.59,2.96,-0.06,0.02,38.1,0.57,0.05,False,73,-9.4,0.173,0.2856,0.402,0.119,False,763,0.0168,0.0208,0.1,0.59,1.45,0.01,0.08,False,-0.227,41.2,1,117,0.08,False,-0.138,39.0,1.0,112.0,-9.1,False,-12.7,-20.4,-17.1,7.4,-5.0,False,-20.3,-43.9,-25.7,17.9,12.4,False,-16.4,-57.5,-21.2,54.4
AAAP_old,1.5,2016-02-19,2016-12-16,2016-12-23,2016,44,DOWN,False,True,24.07,38.79,27.59,1.41,0.17,0.0,31.0,0.49,,,11,-12.8,0.0737,0.0971,0.614,,False,50,0.0492,0.0573,0.67,1.46,,0.02,0.96,True,0.171,58.6,0,22,0.89,True,0.004,56.3,0.0,17.0,61.9,False,57.9,53.8,53.0,61.9,65.7,False,57.0,48.6,47.7,65.7,239.0,False,218.2,201.5,206.9,239.0
AABA,1.5,2009-02-06,2011-04-29,2011-05-06,2011,117,UP,False,True,18.65,18.17,12.14,1.5,0.32,0.92,59.2,0.71,,True,115,5.4,0.0594,0.0824,0.65,,False,122,0.0101,0.0136,0.17,1.1,,0.02,0.82,True,0.076,56.8,1,106,0.61,True,0.134,49.2,1.0,101.0,-37.1,False,-27.0,-18.3,-29.3,-37.1,-18.3,False,-12.7,-18.4,-17.5,-37.1,-18.8,False,-23.0,-25.3,-30.4,-37.1
AABA,1.5,2011-05-13,2012-11-09,2012-11-16,2012,79,UP,True,True,17.86,17.26,11.74,1.47,0.23,1.0,67.7,0.53,-0.37,True,67,3.5,0.0317,0.0634,0.658,0.0382,False,202,0.0153,0.0391,0.48,1.17,0.83,0.0,0.84,True,0.015,54.3,2,58,0.71,True,0.032,45.8,2.0,53.0,17.7,False,5.4,-1.4,8.3,0.0,48.5,False,24.7,18.3,28.3,0.0,98.6,False,63.7,60.8,61.9,0.0
AABA,1.5,2013-09-20,2014-10-31,2014-11-07,2014,59,UP,True,True,48.55,46.05,30.93,1.49,0.28,1.0,67.6,1.33,0.06,True,59,5.4,0.0606,0.0814,0.678,0.0299,False,305,0.04,0.0361,0.66,2.3,2.03,0.02,0.84,True,0.025,60.8,1,50,0.46,False,-0.046,50.8,1.0,45.0,-11.6,False,-13.2,-17.3,-13.4,-11.6,-9.2,False,-14.3,-20.1,-16.8,-12.4,-29.6,False,-34.9,-37.8,-43.8,-40.0
AABA,1.5,2015-06-12,2016-08-05,2016-08-12,2016,61,UP,True,True,42.94,40.52,27.04,1.5,0.09,0.89,60.9,0.77,-0.48,True,26,10.1,0.0643,0.0957,0.623,0.042,False,397,0.0165,0.0236,0.26,0.85,1.53,0.07,0.73,True,0.176,56.9,1,17,0.76,True,0.08,60.4,0.0,12.0,-5.9,False,-5.4,-11.8,-4.9,-6.2,4.9,False,-2.3,-12.5,-4.4,-10.1,34.9,False,20.9,2.2,12.4,-10.1
AABA,1.5,2017-06-23,2019-09-20,2019-09-27,2019,118,DOWN,True,True,19.57,81.46,54.48,1.5,0.1,0.59,53.1,0.26,0.01,True,67,-72.2,0.0577,0.0891,0.712,0.0288,False,560,0.0019,0.0034,0.03,0.9,2.0,0.05,0.61,False,-0.061,53.6,1,108,0.53,True,0.04,50.5,0.0,103.0,0.3,True,0.7,-1.8,-0.6,0.3,0.3,True,0.7,-1.8,-0.6,0.3,0.3,True,0.7,-1.8,-0.6,0.3
AAC_old2,1.5,2016-11-04,2017-05-12,2017-05-19,2017,28,DOWN,True,True,6.72,10.12,7.09,1.43,-0.31,0.03,34.0,0.4,-0.84,False,26,-6.3,0.0618,0.0889,0.571,0.064,False,137,0.0677,0.0619,1.1,0.68,0.97,0.0,0.47,False,-0.359,38.2,0,11,0.23,False,-0.494,31.0,0.0,6.0,34.7,False,32.3,32.6,31.9,34.7,46.1,False,36.9,22.8,33.9,69.6,76.3,False,60.3,49.7,53.8,91.5
AAC_old2,1.5,2017-08-04,2018-03-09,2018-03-16,2018,32,UP,False,True,12.87,11.97,8.01,1.49,-0.01,1.0,67.5,0.85,-0.71,False,5,7.5,0.0665,0.1002,0.531,0.101,True,180,0.0806,0.0406,1.21,0.89,0.66,0.0,0.35,True,0.027,51.9,0,23,0.22,True,0.219,48.9,0.0,18.0,-22.5,False,-24.0,-21.5,-26.1,-22.5,-42.9,False,-49.4,-38.6,-50.9,-42.9,-80.7,False,-85.2,-77.8,-85.8,-89.0
AAC_old2,2.0,2016-11-04,2018-03-09,2018-03-16,2018,71,UP,False,True,12.87,11.97,6.28,1.91,0.3,1.0,67.5,0.48,-0.86,False,39,7.5,0.0917,0.1452,0.662,0.064,False,180,0.0806,0.0406,0.88,1.04,1.43,0.0,0.58,True,0.027,51.9,2,30,0.5,True,0.219,48.9,1.0,25.0,-22.5,False,-24.0,-21.5,-26.1,-22.5,-42.9,False,-49.4,-38.6,-50.9,-42.9,-80.7,False,-85.2,-77.8,-85.8,-89.0
AAC_old2,3.0,2016-09-09,2018-10-26,2018-11-02,2018,112,DOWN,True,True,5.75,18.72,6.28,2.98,-0.14,0.03,31.6,0.32,-0.86,False,112,-13.7,0.1247,0.2792,0.304,0.0676,False,213,0.0355,0.0931,0.28,1.06,1.84,0.02,0.21,False,-0.16,41.9,2,63,0.32,False,-0.0,50.5,2.0,58.0,-57.6,False,-57.5,-61.0,-56.7,0.0,-65.7,False,-75.0,-89.9,-79.1,0.0,-92.9,False,-107.7,-130.4,-111.3,0.0
AADI,1.5,2022-06-10,2023-02-24,2023-03-03,2023,38,DOWN,True,True,9.31,14.2,10.71,1.33,-0.34,0.0,32.2,0.46,-0.71,False,30,-13.1,0.0331,0.054,0.711,0.1051,False,288,0.0296,0.0239,0.89,0.87,0.31,0.05,0.33,False,-0.018,44.4,1,27,0.57,False,-0.028,46.1,0.0,22.0,-13.4,False,-19.7,-32.7,-32.0,0.0,-37.1,False,-49.5,-64.6,-63.4,0.0,-79.4,False,-108.2,-160.5,-129.1,0.0
AAI,1.5,2009-04-03,2009-10-16,2009-10-23,2009,29,DOWN,True,True,4.78,7.39,5.07,1.46,0.09,0.02,39.8,0.41,,,26,-6.5,0.0793,0.1108,0.552,,False,42,0.0247,0.0212,0.31,0.87,,0.0,0.67,True,0.193,56.4,0,12,0.48,True,0.465,55.5,0.0,7.0,12.3,False,10.8,9.8,9.8,14.2,12.1,False,-1.6,-10.2,-5.3,19.0,56.7,False,45.0,39.3,36.1,56.7
