ticker,R,start,asof,base_len,close,base_hi,base_lo,range_ratio,drift,prior_dd,above_ma200,mad_med,cv,mid_share,pre_vol,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,spring,date,rev_yoy,rev_yoy_prev,rev_accel,rev_ttm_yoy,ni_ttm,gm,q_date,fcf_ttm,eps_actual,eps_yoy,surprise_pct,eps_turn_pos,quality,sector,industry,mkt_cap,short_ratio,short_pct_float,shares_short,shares_short_prior,short_chg_mom
A,1.5,2025-05-16,2026-09-11,70,143.12,159.0,107.44,1.48,0.34,-0.29,True,0.0929,0.1046,0.557,0.0403,0.69,True,0.19,55.5,1,68,0.0364,0.0534,0.39,1.19,2.31,0.03,False,2026-09-11,0.08055235903337166,0.10011990407673865,-0.019567545043366996,0.0860341779611078,1440000000.0,0.5548455804046858,2026-07-31,1436000000.0,1.62,0.18248175182481752,9.4595,False,True,Healthcare,Diagnostics & Research,41429237760.0,,0.0229,,,
AA,2.0,2025-11-28,2026-09-11,42,48.3,77.49,41.52,1.87,-0.09,-0.09,True,0.1205,0.1556,0.548,0.0567,0.19,False,-0.257,42.7,0,41,0.0202,0.0334,0.17,0.71,2.13,0.02,False,2026-09-11,0.31411530815109345,-0.05224102107450279,0.36635632922559624,0.030998938911626528,1277000000.0,0.2518910741301059,2026-06-30,352000000.0,2.12,4.435897435897436,-9.0129,False,True,Basic Materials,Aluminum,12736269312.0,,0.0463,,,
AAON,2.0,2024-02-02,2026-09-11,137,76.52,139.92,71.32,1.96,0.15,-0.02,False,0.1129,0.1929,0.394,0.0461,0.08,False,-0.104,37.9,2,118,0.0744,0.1623,0.66,1.29,2.45,0.01,False,2026-09-11,1.0123312160787248,0.5430207356530272,0.46931048042569756,0.5353415049050883,159288000.0,0.24321664625121217,2026-06-30,-118788000.0,0.69,2.1363636363636362,32.6923,False,False,Industrials,Building Products & Equipment,6579387904.0,,0.0683,,,
AAP,1.5,2026-01-09,2026-09-11,36,43.31,61.9,42.58,1.45,0.13,-0.48,False,0.0685,0.1122,0.417,0.0931,0.04,False,-0.031,38.7,1,3,0.1328,0.0722,1.94,0.95,0.74,0.0,True,2026-09-11,-0.00497512437810943,0.01200154858691449,-0.01697667296502392,-0.013050781015276902,84000000.0,0.4615,2026-06-30,23000000.0,1.03,0.49275362318840593,27.1605,False,True,Consumer Cyclical,Auto Parts,2695508992.0,,0.2635,,,
AAP,2.0,2025-05-16,2026-09-11,70,43.31,61.9,34.2,1.81,0.09,-0.69,False,0.097,0.1237,0.514,0.0605,0.33,False,-0.031,38.7,2,69,0.1328,0.0722,1.37,0.91,1.6,0.0,False,2026-09-11,-0.00497512437810943,0.01200154858691449,-0.01697667296502392,-0.013050781015276902,84000000.0,0.4615,2026-06-30,23000000.0,1.03,0.49275362318840593,27.1605,False,True,Consumer Cyclical,Auto Parts,2695508992.0,,0.2635,,,
AAUC,2.0,2025-11-14,2026-09-11,44,22.48,31.92,16.26,1.96,-0.12,-0.11,True,0.145,0.1705,0.545,0.0855,0.4,False,-0.225,43.8,0,42,0.0398,0.0256,0.27,0.84,1.7,0.0,False,2026-09-11,0.4536846324495296,0.12194873082818769,0.3317359016213419,0.5534986843574747,-61834083.0,0.46035741390889384,2026-06-30,-119009747.0,0.44,2.9722097714029587,76.0,True,False,Basic Materials,Gold,3182705664.0,,0.031,,,
ABEO,2.0,2024-05-03,2026-09-11,124,5.48,7.24,4.06,1.78,0.16,-0.53,True,0.0912,0.1325,0.685,0.1319,0.45,True,0.184,46.2,1,120,0.0141,0.0579,0.15,1.47,0.69,0.0,False,2026-09-11,27.45,inf,-inf,3.9247394828251636,-62887000.0,0.6329525483304043,2026-06-30,-81527000.0,-0.35,0.2553191489361702,-52.1739,False,False,Healthcare,Biotechnology,309651456.0,,0.2845,,,
ABUS,1.5,2025-08-22,2026-09-11,56,5.12,5.21,3.59,1.45,0.34,-0.21,True,0.0385,0.0729,0.839,0.0513,0.94,True,0.098,60.8,1,55,0.0544,0.0428,1.41,1.71,0.75,0.02,False,2026-09-11,-0.9055778005400875,100.5453514739229,-101.450929274463,10.787752983912817,153054000.0,1.0,2026-06-30,-24625000.0,-0.03,,0.0,False,False,Healthcare,Biotechnology,1014301376.0,,0.1419,,,
ABVX,1.5,2025-10-31,2026-09-11,46,115.95,144.65,96.55,1.5,0.06,0.03,True,0.058,0.094,0.717,0.787,0.4,True,0.045,49.3,0,13,0.0288,0.0567,0.5,0.84,0.07,0.0,False,2026-09-11,,-1.272604406000811,,-1.0,-537928000.0,,2026-03-31,-226482000.0,-0.71,0.25263157894736843,12.3457,False,False,Healthcare,Biotechnology,10351791104.0,,0.0807,,,
ABX,1.5,2026-02-13,2026-09-11,31,9.53,11.86,8.09,1.47,0.37,-0.32,True,0.0421,0.0846,0.677,0.0888,0.38,True,0.125,51.2,1,23,0.0114,0.0483,0.27,0.92,0.47,0.0,True,2026-09-11,0.2987191376304543,0.3455180781337359,-0.046798940503281594,0.6527118908526803,28195231.0,0.7673330138774327,2026-06-30,88726091.0,0.28,0.2727272727272728,12.0,False,True,Financial Services,Insurance - Life,930004288.0,,0.1698,,,
