ticker,R,kind,date,year,base_start,base_len,close,pos,rsi,range_ratio,wk_since_low,delisted,mad_med,cv,mid_share,pre_vol,spring,regime_spy_up,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,next_break,wk_to_break,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52
A,1.5,COMP,2010-12-03,2010,2009-11-06,57,23.68,1.0,68.5,1.43,56,False,0.0711,0.0926,0.579,0.0648,False,True,0.0169,0.0463,0.24,1.0,1.1,0.04,UP,1.0,24.7,False,16.4,12.2,16.9,0.0,26.5,False,19.4,20.1,21.6,0.0,-1.9,False,-5.5,-11.3,-7.8,-17.1
A,1.5,COMP,2010-12-17,2010,2009-11-13,58,25.61,1.0,75.1,1.5,22,False,0.0753,0.0991,0.552,0.0644,False,True,0.0155,0.044,0.21,1.32,1.17,0.03,UP,1.0,5.9,False,2.7,3.8,5.9,0.0,17.0,False,13.8,16.3,18.0,0.0,-17.5,False,-17.3,-21.5,-18.9,-23.3
A,1.5,COMP,2012-01-20,2012,2011-07-29,26,25.9,0.9,56.4,1.36,22,False,0.0488,0.0813,0.577,0.0373,False,True,0.0342,0.0402,0.7,0.64,1.31,0.0,UP,1.0,2.9,False,-2.1,1.1,-7.2,0.0,-7.9,False,-12.4,-1.1,-15.8,-9.2,8.8,False,-6.1,1.9,-4.9,-12.1
A,1.5,COMP,2013-09-20,2013,2012-01-06,90,33.46,1.0,73.7,1.47,48,False,0.0711,0.0842,0.611,0.0623,False,True,0.0138,0.0168,0.19,0.76,1.14,0.03,UP,4.0,9.5,False,2.5,4.9,-0.4,-2.4,8.1,False,-2.1,-5.4,-5.7,-2.4,12.7,False,-7.1,-18.5,-15.7,-2.4
A,1.5,COMP,2016-05-20,2016,2013-07-05,151,41.39,1.0,67.9,1.46,150,False,0.0392,0.0687,0.768,0.0328,False,True,0.0181,0.0269,0.46,0.61,1.2,0.01,UP,1.0,6.4,False,-0.5,-15.1,-4.1,-1.7,0.8,False,-6.6,-29.0,-9.9,-3.2,26.4,False,8.0,-29.6,-4.4,-3.2
A,1.5,ANTI,2025-03-14,2025,2023-11-03,72,119.71,0.3,36.2,1.43,70,False,0.0382,0.0657,0.736,0.0332,False,False,0.0685,0.055,1.79,1.16,1.15,0.06,DOWN,3.0,-3.2,False,-9.6,-16.6,-13.2,-15.3,2.1,False,-15.4,-32.2,-20.5,-15.3,-7.2,False,-26.3,-78.7,-31.6,-15.3
A,1.5,COMP,2026-08-21,2026,2025-05-16,67,159.0,1.0,70.6,1.48,65,False,0.0852,0.1017,0.567,0.0403,False,True,0.0524,0.0282,0.62,1.14,2.11,0.03,NONE,,,,,,,,,,,,,,,,,,,
A,2.0,COMP,2009-07-03,2009,2009-01-02,27,12.46,0.91,71.4,1.61,17,False,0.0697,0.1153,0.407,,False,False,0.0437,0.058,0.63,0.94,,0.04,UP,2.0,33.4,False,18.8,19.2,18.5,-3.9,57.6,False,32.2,25.7,28.7,-3.9,40.9,False,24.9,17.3,20.9,-3.9
AA,1.5,ANTI,2010-05-07,2010,2009-07-31,41,25.47,0.07,39.5,1.45,40,False,0.0468,0.0831,0.61,0.1,False,True,0.0169,0.0303,0.36,1.2,0.47,0.02,DOWN,2.0,-3.2,False,-4.7,-7.0,-6.3,-16.7,17.2,False,5.8,-0.6,-1.5,-16.7,43.9,False,20.8,3.4,14.1,-16.7
AA,1.5,COMP,2013-12-27,2013,2011-09-23,119,23.62,0.85,76.4,1.46,17,False,0.052,0.0837,0.496,0.0454,False,True,0.0302,0.0292,0.58,1.13,1.15,0.01,UP,3.0,17.1,False,15.7,10.4,16.9,-5.4,40.3,False,32.9,23.5,32.2,-5.4,49.3,False,33.7,16.1,27.4,-5.4
