ticker,group,hold_terminal,hold_maxdd,BRAKE_ratio,BRAKE_maxdd,BRAKE_pct_collared,COLLAR_ratio,COLLAR_maxdd,COLLAR_pct_collared
NVDA,stock,44.868,-65.9,0.872,-43.8,0.0,0.633,-45.9,14.7
AMD,stock,31.377,-64.0,0.906,-48.3,0.0,0.798,-48.3,23.8
AVGO,stock,17.715,-40.0,0.945,-40.0,0.0,0.687,-40.0,10.4
ARM,stock,2.029,-39.2,1.0,-39.2,0.0,0.312,-51.1,40.3
MRVL,stock,8.232,-60.4,1.0,-60.4,0.0,0.58,-60.4,25.6
MU,stock,20.724,-54.0,0.722,-44.8,0.0,0.573,-47.6,33.2
TSM,stock,10.431,-55.2,0.884,-50.4,0.0,0.791,-36.8,19.8
ASML,stock,9.134,-55.8,0.349,-39.1,0.0,0.89,-33.8,25.4
AMAT,stock,12.951,-54.9,0.273,-43.0,0.0,0.917,-43.0,23.4
LRCX,stock,19.11,-56.4,0.862,-44.6,0.0,0.736,-44.6,22.8
KLAC,stock,19.493,-40.2,0.197,-28.2,0.0,0.843,-36.1,16.7
QCOM,stock,3.262,-43.6,1.166,-41.0,0.0,0.278,-51.8,39.3
SNPS,stock,3.756,-38.8,0.604,-46.0,0.0,0.766,-43.3,26.7
CDNS,stock,7.333,-30.1,0.589,-42.9,0.0,0.657,-33.2,14.7
CRDO,stock,24.538,-58.6,1.0,-58.6,0.0,0.514,-58.6,9.2
ALAB,stock,3.344,-54.1,1.0,-54.1,0.0,0.545,-54.1,11.1
MPWR,stock,9.966,-48.9,0.647,-40.9,0.0,0.796,-39.5,21.5
ON,stock,3.83,-67.9,0.874,-63.0,0.0,0.874,-56.7,37.6
INTC,stock,2.991,-69.6,1.066,-53.6,0.0,1.269,-51.9,46.4
COHR,stock,6.136,-70.4,0.422,-76.0,0.0,0.37,-62.5,47.8
LITE,stock,10.881,-66.1,0.621,-60.5,0.0,0.626,-54.2,38.2
CIEN,stock,14.683,-48.6,1.147,-44.6,0.0,0.78,-44.6,22.1
ANET,stock,8.579,-50.2,0.632,-50.2,0.0,0.645,-50.2,22.3
SMCI,stock,12.243,-83.7,0.02,-88.7,0.0,1.201,-75.7,22.9
DELL,stock,19.694,-54.8,0.473,-54.8,0.0,0.718,-42.0,30.0
HPE,stock,4.176,-51.8,0.493,-61.5,0.0,0.499,-47.1,28.3
VRT,stock,20.414,-70.7,0.941,-62.6,0.0,1.012,-59.4,18.6
STX,stock,21.161,-53.4,0.62,-38.3,0.0,0.752,-36.2,31.3
WDC,stock,6.495,-68.7,1.121,-68.6,0.0,1.354,-56.2,50.1
P,stock,3.696,-49.2,0.369,-49.2,0.0,0.351,-54.2,24.1
MOD,stock,16.219,-79.4,0.901,-55.6,0.0,0.608,-79.4,17.7
IREN,stock,9.111,-63.7,1.155,-63.7,0.0,0.382,-63.4,7.8
APLD,stock,6.613,-63.0,0.484,-62.9,0.0,0.565,-63.0,6.9
WULF,stock,2.421,-98.4,1.961,-98.0,0.0,2.202,-80.9,45.3
CORZ,stock,1.522,-31.6,1.0,-31.6,0.0,1.0,-31.6,0.0
CIFR,stock,7.536,-70.7,0.627,-70.7,0.0,0.477,-70.7,10.5
HUT,stock,10.184,-94.4,0.66,-91.0,0.0,1.107,-78.0,44.9
MSFT,stock,1.401,-31.6,0.993,-15.0,0.0,0.925,-26.4,21.5
GOOGL,stock,5.945,-41.9,1.091,-29.7,0.0,0.829,-29.7,20.2
AMZN,stock,2.535,-54.8,0.716,-38.3,0.0,1.054,-28.1,23.6
META,stock,3.655,-76.0,0.874,-51.4,0.0,0.958,-46.4,25.7
AAPL,stock,7.382,-29.5,0.685,-29.5,0.0,0.696,-29.5,20.1
ORCL,stock,2.782,-58.6,0.909,-54.9,0.0,0.845,-48.5,23.5
APP,stock,18.15,-57.0,0.873,-57.0,0.0,0.966,-57.0,9.4
NOW,stock,1.091,-63.1,1.069,-55.2,0.0,1.608,-35.9,32.2
CRM,stock,1.078,-58.3,1.258,-54.4,0.0,1.338,-36.4,40.1
SNOW,stock,1.46,-55.9,0.791,-58.9,0.0,0.591,-48.8,36.0
DDOG,stock,2.472,-66.8,0.61,-66.7,0.0,0.335,-64.7,36.4
MDB,stock,2.091,-74.5,0.261,-76.2,0.0,1.785,-48.2,41.9
NET,stock,2.023,-70.9,0.551,-74.4,0.0,1.42,-43.3,30.3
CRWD,stock,5.437,-44.1,0.546,-44.1,0.0,0.479,-44.1,14.0
PANW,stock,14.942,-42.8,0.612,-56.0,0.0,0.269,-57.3,18.8
IOT,stock,2.389,-56.9,0.782,-52.1,0.0,1.229,-43.2,35.6
PATH,stock,0.875,-64.4,0.622,-77.0,0.0,0.611,-67.9,52.0
DUOL,stock,1.06,-83.0,2.3,-48.7,0.0,1.505,-48.7,29.3
RDDT,stock,1.6,-53.9,0.772,-50.0,0.0,0.563,-53.9,34.4
SOUN,stock,1.877,-75.4,0.387,-75.4,0.0,0.484,-70.1,29.2
AI,stock,0.31,-82.6,2.048,-70.1,0.0,1.249,-76.5,61.4
BBAI,stock,0.284,-93.3,0.157,-96.6,0.0,0.644,-88.5,54.4
VST,stock,6.628,-48.6,0.611,-48.6,0.0,1.138,-48.6,31.7
CEG,stock,2.773,-50.7,1.133,-50.7,0.0,0.989,-50.7,13.0
TLN,stock,0.922,-9.8,1.0,-9.8,0.0,1.0,-9.8,0.0
NRG,stock,3.914,-42.1,0.904,-32.0,0.0,0.738,-36.5,26.4
NEE,stock,1.106,-42.7,0.852,-26.8,0.0,0.839,-30.4,44.1
SO,stock,2.753,-33.6,0.742,-33.6,0.0,0.822,-33.6,17.7
DUK,stock,2.096,-33.2,0.833,-33.2,0.0,0.873,-33.2,21.9
OKLO,stock,4.178,-74.8,1.0,-74.8,0.0,0.575,-67.4,17.5
SMR,stock,1.274,-85.1,1.641,-82.2,0.0,1.745,-73.9,25.0
BWXT,stock,3.276,-38.8,0.911,-38.8,0.0,0.797,-38.8,23.2
CCJ,stock,7.847,-48.9,0.593,-54.2,0.0,0.381,-48.3,20.8
LEU,stock,48.918,-75.1,0.359,-82.8,0.0,0.286,-85.3,21.6
UEC,stock,6.725,-74.2,0.313,-66.9,0.0,0.288,-64.9,40.7
ETN,stock,5.524,-37.6,0.73,-37.6,0.0,0.823,-37.6,16.6
HUBB,stock,4.152,-34.8,0.585,-35.5,0.0,0.748,-34.8,19.1
NVT,stock,6.815,-49.7,0.873,-46.6,0.0,0.545,-49.7,23.2
ATKR,stock,3.583,-71.2,0.529,-56.0,0.0,0.711,-57.9,37.2
AMSC,stock,6.781,-88.4,0.983,-65.7,0.0,0.632,-65.0,41.6
ITRI,stock,1.373,-64.1,0.991,-45.3,0.0,1.184,-45.3,38.7
TT,stock,7.574,-39.8,0.979,-33.1,0.0,0.647,-33.1,14.3
PWR,stock,17.447,-41.6,1.0,-41.6,0.0,0.581,-41.6,7.1
EME,stock,9.222,-45.2,0.872,-45.2,0.0,0.703,-35.7,20.2
FIX,stock,33.293,-46.2,0.909,-45.4,0.0,0.567,-45.4,14.4
STRL,stock,48.932,-54.3,0.393,-61.8,0.0,0.24,-62.7,23.5
