date,ticker,theme,close,rsi,ext_vs_ma40_pct,ext_rank_pct,up_streak,down_streak,vol_ratio,top_score,bottom_score,top_flags,bottom_flags
2026-07-19,SPY,benchmark,743.29,60.9,7.0,34.7,0,1,0.88,1,0,bear_divergence,
2026-07-19,QQQ,benchmark,695.33,56.1,8.5,40.7,0,1,0.94,1,0,bear_divergence,
2026-07-19,SMH,benchmark,556.53,57.5,25.0,63.6,0,1,1.72,0,0,,
2026-07-19,GRID,benchmark,177.85,50.4,4.8,21.2,0,1,0.9,0,0,,
2026-07-19,BOTZ,benchmark,34.4,42.0,-6.8,5.1,0,2,1.09,0,1,,extension_bottom_decile
2026-07-19,ITA,benchmark,230.73,51.7,2.6,6.8,0,2,0.75,1,1,bear_divergence,extension_bottom_decile
2026-07-19,XLV,benchmark,161.09,62.4,6.6,73.7,1,0,1.01,0,0,,
2026-07-19,MU,ai,848.95,59.4,69.4,69.5,0,1,1.3,1,0,bear_divergence,
2026-07-19,STX,ai,787.66,57.6,56.8,63.6,0,1,1.57,0,0,,
2026-07-19,HPE,ai,45.82,68.2,61.0,94.1,0,1,1.03,1,0,extended_top_decile,
2026-07-19,NBIS,ai,177.71,51.2,28.7,,0,1,1.54,0,0,,
2026-07-19,CORZ,ai,20.94,48.8,7.2,30.8,0,1,0.79,0,0,,
2026-07-19,BE,grid,214.96,50.2,22.4,38.1,0,2,1.4,1,0,bear_divergence,
2026-07-19,STRL,grid,638.56,52.5,28.8,42.4,0,4,1.58,0,0,,
2026-07-19,NVT,grid,154.92,57.7,21.5,52.5,0,1,0.92,1,0,bear_divergence,
2026-07-19,MYRG,grid,391.51,55.3,26.6,69.5,0,3,1.04,1,0,bear_divergence,
2026-07-19,TLN,grid,372.37,50.8,1.3,15.3,0,1,1.02,0,0,,
2026-07-19,CGNX,robotics,64.07,60.9,27.0,79.7,0,2,0.9,1,0,bear_divergence,
2026-07-19,OUST,robotics,37.04,53.9,32.1,58.5,0,2,1.5,1,0,bear_divergence,
2026-07-19,TER,robotics,322.36,49.0,13.0,47.5,0,4,1.01,1,0,bear_divergence,
