ticker,theme,group,hold_terminal,hold_maxdd,X1_STRUCT_ratio,X1_STRUCT_maxdd,X1_STRUCT_trades,X1_STRUCT_pctin,X2_MA52_ratio,X2_MA52_maxdd,X2_MA52_trades,X2_MA52_pctin,X3_CROSSDN_ratio,X3_CROSSDN_maxdd,X3_CROSSDN_trades,X3_CROSSDN_pctin,X4_TRAIL25_ratio,X4_TRAIL25_maxdd,X4_TRAIL25_trades,X4_TRAIL25_pctin,X5_COMBO_ratio,X5_COMBO_maxdd,X5_COMBO_trades,X5_COMBO_pctin
NVDA,ai,stock,44.868,-65.9,0.925,-43.8,2,85.6,0.702,-35.5,3,82.8,0.556,-43.8,3,85.3,0.165,-30.0,3,53.1,0.872,-43.8,2,88.4
AMD,ai,stock,31.377,-64.0,0.065,-36.1,5,23.5,0.148,-50.1,5,43.5,0.781,-48.3,4,77.0,0.163,-46.8,6,51.3,0.906,-48.3,3,80.8
AVGO,ai,stock,17.715,-40.0,0.146,-39.7,2,48.2,0.351,-30.7,3,70.1,0.617,-40.0,3,89.6,0.269,-30.7,3,71.3,0.945,-40.0,2,94.4
ARM,ai,stock,2.029,-39.2,0.59,-39.2,2,48.6,0.449,-39.2,3,43.1,0.252,-60.0,3,59.7,0.321,-56.8,3,51.4,1.0,-39.2,1,100.0
MRVL,ai,stock,8.232,-60.4,0.884,-52.1,4,58.6,0.408,-50.1,5,51.2,0.662,-60.4,4,76.3,0.577,-39.2,4,50.9,1.0,-60.4,3,87.3
MU,ai,stock,20.724,-54.0,0.112,-44.8,6,65.4,0.477,-44.7,8,51.5,0.542,-47.3,6,68.3,0.589,-46.2,5,62.8,0.722,-44.8,4,81.0
TSM,ai,stock,10.431,-55.2,0.922,-50.4,4,82.7,0.115,-32.5,6,24.9,0.634,-33.6,6,80.2,0.818,-28.9,3,84.1,0.884,-50.4,3,90.0
ASML,ai,stock,9.134,-55.8,0.096,-39.1,4,16.1,0.111,-42.2,4,30.4,0.867,-36.6,4,74.6,0.349,-39.5,3,47.9,0.349,-39.1,3,68.5
AMAT,ai,stock,12.951,-54.9,0.433,-43.0,3,60.4,0.083,-52.0,5,37.2,0.834,-43.0,4,76.6,0.635,-48.4,4,69.7,0.273,-43.0,3,67.3
LRCX,ai,stock,19.11,-56.4,0.267,-35.4,3,38.8,0.273,-47.5,3,47.8,0.772,-44.6,3,77.2,0.273,-47.5,3,47.8,0.862,-44.6,3,77.2
