ticker,regime,kind,dt,fwd1d,fwd3d,fwd5d
SPY,RANGE,CTRL,2023-08-30T13:30:00,0.407,0.053,-1.267
SPY,RANGE,CTRL,2023-08-31T12:30:00,-0.311,-1.526,-1.327
SPY,RANGE,CTRL,2023-09-01T11:30:00,-0.04,-1.228,-0.637
SPY,RANGE,CTRL,2023-09-05T10:30:00,-0.993,-0.824,-0.788
SPY,RANGE,H_UP,2023-09-05T14:30:00,-0.894,-1.15,-0.937
SPY,RANGE,CTRL,2023-09-06T09:30:00,-0.64,0.384,0.006
SPY,RANGE,CTRL,2023-09-06T15:30:00,-0.306,0.513,0.069
SPY,RANGE,CTRL,2023-09-07T14:30:00,-0.058,0.156,1.21
SPY,RANGE,CTRL,2023-09-08T13:30:00,0.696,0.4,-0.458
SPY,RANGE,H_DOWN,2023-09-08T15:30:00,0.669,0.224,-0.496
SPY,RANGE,CTRL,2023-09-11T12:30:00,0.011,0.491,-0.826
SPY,RANGE,H_UP,2023-09-11T14:30:00,-0.66,0.386,-1.126
SPY,RANGE,CTRL,2023-09-12T11:30:00,0.027,-0.517,-1.496
SPY,RANGE,CTRL,2023-09-13T10:30:00,0.451,-0.762,-0.935
SPY,RANGE,CTRL,2023-09-14T09:30:00,-0.566,-1.538,-3.084
SPY,RANGE,CTRL,2023-09-14T15:30:00,-1.576,-1.698,-4.216
SPY,RANGE,CTRL,2023-09-15T14:30:00,-0.041,-0.643,-2.508
SPY,RANGE,CTRL,2023-09-18T13:30:00,-0.46,-2.422,-2.949
SPY,RANGE,H_DOWN,2023-09-19T10:30:00,0.544,-1.592,-3.2
SPY,RANGE,CTRL,2023-09-19T12:30:00,0.571,-2.033,-3.203
SPY,RANGE,CTRL,2023-09-20T11:30:00,-2.273,-2.693,-4.425
SPY,RANGE,CTRL,2023-09-21T10:30:00,0.016,-1.618,-1.267
SPY,RANGE,CTRL,2023-09-22T09:30:00,-0.745,-1.369,-0.558
SPY,RANGE,CTRL,2023-09-22T15:30:00,0.428,-1.011,-0.69
SPY,RANGE,CTRL,2023-09-25T14:30:00,-1.35,-0.318,-1.225
SPY,RANGE,CTRL,2023-09-26T13:30:00,-0.358,0.084,-1.264
SPY,RANGE,CTRL,2023-09-27T12:30:00,1.339,0.667,-0.045
SPY,RANGE,CTRL,2023-09-28T11:30:00,-0.167,-1.79,-1.618
SPY,RANGE,CTRL,2023-09-29T10:30:00,-0.384,-1.679,-0.977
