ticker,kind,regime,char,dt,fwd1d,fwd3d,fwd5d
SPY,CTRL,BEAR,NORMAL,2023-10-10T09:30:00,-0.005,-0.136,-0.086
SPY,CTRL,BEAR,NORMAL,2023-10-10T15:30:00,0.421,-0.674,0.368
SPY,CTRL,BEAR,NORMAL,2023-10-11T14:30:00,-0.466,0.335,-1.137
SPY,BOTTOM,BEAR,NORMAL,2023-10-12T11:30:00,-0.985,0.197,-1.624
SPY,CTRL,BEAR,NORMAL,2023-10-12T13:30:00,-0.267,0.594,-0.822
SPY,CTRL,BEAR,NORMAL,2023-10-13T12:30:00,1.267,0.658,-1.397
SPY,CTRL,BEAR,NORMAL,2023-10-16T11:30:00,0.454,-1.371,-3.045
SPY,CTRL,BEAR,NORMAL,2023-10-17T10:30:00,-0.704,-3.131,-2.977
SPY,CTRL,BEAR,NORMAL,2023-10-18T09:30:00,-1.052,-2.937,-3.287
SPY,CTRL,BEAR,NORMAL,2023-10-18T15:30:00,-0.881,-2.269,-2.929
SPY,CTRL,BEAR,NORMAL,2023-10-19T14:30:00,-1.04,-0.64,-2.95
SPY,CTRL,BEAR,NORMAL,2023-10-20T13:30:00,-0.045,-1.154,-3.026
SPY,CTRL,BEAR,NORMAL,2023-10-23T12:30:00,-0.175,-2.516,-1.856
SPY,CTRL,BEAR,NORMAL,2023-10-24T11:30:00,-0.557,-2.144,-1.34
SPY,CTRL,BEAR,NORMAL,2023-10-25T10:30:00,-1.551,-1.896,-0.124
SPY,CTRL,BEAR,NORMAL,2023-10-26T09:30:00,-0.583,0.083,3.086
SPY,CTRL,BEAR,NORMAL,2023-10-26T15:30:00,-0.448,1.367,4.401
SPY,CTRL,BEAR,NORMAL,2023-10-27T14:30:00,1.416,3.026,6.106
SPY,CTRL,BEAR,NORMAL,2023-10-30T13:30:00,0.436,3.581,4.58
SPY,CTRL,BEAR,NORMAL,2023-10-31T12:30:00,0.684,4.348,4.813
SPY,CTRL,BEAR,NORMAL,2023-11-01T11:30:00,2.074,3.576,3.686
