ticker,theme,defn,date,price,fwd26w,fwd52w,fwd104w,excB26w,excB52w,excB104w,excS26w,excS52w,excS104w,mae52w
NVDA,ai,BRKOUT,2019-11-04,5.16,50.6,180.9,474.6,46.5,130.8,347.0,54.9,165.4,417.8,-1.7
NVDA,ai,BRKOUT,2025-06-23,157.54,20.8,22.2,,-11.0,-98.1,,7.9,2.3,,0.0
NVDA,ai,MACROSS,2019-09-30,4.52,34.2,187.7,357.4,39.7,141.6,239.4,49.0,172.1,304.9,0.0
NVDA,ai,MACROSS,2023-02-13,21.34,102.5,239.7,549.7,82.1,172.4,439.4,94.5,215.1,495.7,0.0
NVDA,ai,MACROSS,2025-06-30,159.13,18.5,22.4,,-13.5,-87.0,,8.7,2.0,,0.0
AMD,ai,BOTTOM,2018-12-03,19.46,66.5,103.6,383.2,48.1,51.1,229.7,56.3,81.8,337.4,-13.0
AMD,ai,BOTTOM,2023-03-06,82.67,28.3,150.9,21.3,1.8,60.4,-70.0,12.0,116.2,-32.1,0.0
AMD,ai,BOTTOM,2024-08-12,148.56,-23.9,19.5,,-26.7,-0.9,,-34.6,2.0,,-42.3
AMD,ai,BRKOUT,2018-05-28,14.4,47.9,90.3,273.6,59.6,98.9,240.4,46.3,87.8,257.9,0.0
AMD,ai,BRKOUT,2019-07-08,33.21,45.0,68.3,173.7,18.0,26.1,43.8,35.7,60.5,123.8,-13.5
AMD,ai,BRKOUT,2021-07-26,106.19,-0.9,-11.0,6.4,-0.9,-1.6,-17.7,-2.4,-6.3,-1.0,-30.6
AMD,ai,BRKOUT,2023-05-22,127.03,-3.7,31.0,-13.2,-13.5,-35.8,-76.0,-12.9,3.1,-54.8,-24.3
AMD,ai,BRKOUT,2023-12-04,128.92,30.2,7.5,69.1,-25.9,-46.4,-57.6,13.3,-26.4,16.2,0.0
AMD,ai,MACROSS,2018-06-18,15.8,7.2,84.2,243.2,27.6,81.7,196.9,18.6,75.1,226.4,-5.1
AMD,ai,MACROSS,2021-07-26,106.19,-0.9,-11.0,6.4,-0.9,-1.6,-17.7,-2.4,-6.3,-1.0,-30.6
AMD,ai,MACROSS,2023-03-27,98.01,4.9,84.2,5.3,-5.3,12.2,-57.6,-0.3,54.5,-34.1,-9.8
AMD,ai,MACROSS,2025-07-28,171.7,37.9,,,-4.7,,,25.9,,,-12.0
AVGO,ai,BRKOUT,2019-01-21,22.12,14.4,25.6,88.4,-10.3,-29.1,-65.7,-0.3,-0.5,38.9,-5.2
AVGO,ai,BRKOUT,2023-02-27,60.28,39.6,126.2,226.7,12.1,45.0,134.6,27.2,97.3,175.5,-2.8
AVGO,ai,MACROSS,2018-12-24,20.93,15.6,29.6,84.7,-11.2,-36.6,-68.1,-3.7,-3.2,30.1,-8.0
AVGO,ai,MACROSS,2020-06-29,27.78,41.3,53.4,61.1,-2.2,-17.2,31.8,20.5,12.4,35.4,-3.1
AVGO,ai,MACROSS,2023-01-16,54.37,59.1,117.0,331.2,23.8,51.4,201.6,44.0,93.3,276.0,0.0
ARM,ai,BOTTOM,2025-02-24,131.69,5.0,-3.2,,-19.7,-78.3,,-4.2,-20.0,,-33.4
ARM,ai,MACROSS,2025-07-14,156.74,-32.5,70.5,,-70.9,-21.8,,-43.4,50.7,,-32.8
ARM,ai,MACROSS,2026-04-20,234.81,,,,,,,,,,-10.9
MRVL,ai,BOTTOM,2023-04-17,38.62,27.1,59.9,33.5,12.6,-1.5,-23.2,24.1,38.0,2.3,0.0
MRVL,ai,BOTTOM,2026-01-05,83.16,183.6,,,126.6,,,174.2,,,-5.5
MRVL,ai,BRKOUT,2019-04-08,22.92,1.8,3.3,112.2,-5.7,-7.1,-17.6,-1.3,5.5,65.2,-20.8
MRVL,ai,BRKOUT,2023-05-22,64.84,-14.3,17.5,-6.7,-24.1,-49.2,-69.5,-23.5,-10.4,-48.3,-27.7
MRVL,ai,BRKOUT,2024-10-14,79.48,-35.1,10.5,,-12.0,-26.4,,-25.8,-4.5,,-38.1
MRVL,ai,MACROSS,2019-04-08,22.92,1.8,3.3,112.2,-5.7,-7.1,-17.6,-1.3,5.5,65.2,-20.8
MRVL,ai,MACROSS,2020-05-25,31.81,38.7,48.9,88.1,-7.7,-29.0,11.8,18.2,8.6,47.7,0.0
MRVL,ai,MACROSS,2023-06-05,59.4,-11.7,13.8,14.7,-22.3,-59.0,-59.2,-19.5,-12.3,-28.4,-21.1
MRVL,ai,MACROSS,2025-11-24,89.27,129.6,,,59.0,,,118.3,,,-12.0
MU,ai,BOTTOM,2019-04-08,40.97,7.4,9.8,126.9,-0.1,-0.6,-2.9,4.3,12.0,79.8,-22.4
MU,ai,BOTTOM,2023-02-27,55.93,24.5,68.7,66.8,-3.1,-12.4,-25.3,12.0,39.9,15.6,-3.3
MU,ai,BRKOUT,2020-11-16,59.87,31.5,35.4,-3.8,11.5,-21.8,-15.0,13.8,1.6,-18.6,0.0
MU,ai,BRKOUT,2022-01-10,95.17,-36.6,-41.1,-14.1,-6.6,-15.5,-28.8,-20.1,-28.2,-20.0,-48.4
MU,ai,BRKOUT,2023-05-22,72.98,4.3,76.2,27.6,-5.4,9.4,-35.2,-4.8,48.3,-14.0,-17.8
MU,ai,MACROSS,2019-08-19,41.89,32.7,-0.7,63.5,-1.9,-58.8,-75.4,14.5,-22.3,2.4,-15.9
MU,ai,MACROSS,2020-07-20,48.78,64.5,51.8,23.2,12.4,-10.7,-20.7,44.2,12.7,-3.5,-14.7
MU,ai,MACROSS,2020-11-09,56.49,37.6,33.6,8.8,17.8,-20.9,-5.2,20.4,1.3,-5.8,0.0
MU,ai,MACROSS,2022-01-10,95.17,-36.6,-41.1,-14.1,-6.6,-15.5,-28.8,-20.1,-28.2,-20.0,-48.4
MU,ai,MACROSS,2023-04-10,61.82,10.9,96.8,12.2,-6.8,20.6,-49.2,5.5,71.1,-20.8,-3.0
MU,ai,MACROSS,2025-07-07,124.33,177.4,687.7,,141.6,574.5,,165.5,665.3,,-15.8
TSM,ai,BRKOUT,2018-09-03,38.19,-14.9,0.6,87.3,-12.1,-14.6,19.7,-11.3,-5.1,63.4,-22.1
TSM,ai,BRKOUT,2019-04-15,38.63,12.9,25.0,182.5,9.2,11.1,63.3,9.2,24.2,133.3,-16.7
