ticker,kind,date,fwd13w,fwd26w,fwd52w
NVDA,L2,2021-03-22,48.3,72.1,115.8
NVDA,L2,2021-06-14,17.5,49.2,-14.7
NVDA,L2,2024-05-20,21.5,33.3,23.4
NVDA,L2,2024-12-23,-19.9,15.2,39.1
NVDA,C2,2017-08-14,31.0,51.2,52.0
NVDA,C2,2017-09-11,6.4,39.3,53.9
NVDA,C2,2017-10-09,14.7,19.1,27.0
NVDA,C2,2017-11-06,7.4,17.9,-4.6
NVDA,C2,2017-12-04,28.2,37.1,-22.7
NVDA,C2,2018-01-01,-0.5,15.0,-36.6
NVDA,C2,2018-01-29,2.4,8.1,-37.8
NVDA,C2,2018-02-26,9.0,18.8,-33.6
NVDA,C2,2018-03-26,2.4,21.5,-22.2
NVDA,C2,2018-04-23,11.4,-12.3,-21.1
NVDA,C2,2018-05-21,9.2,-41.8,-41.6
NVDA,C2,2018-06-18,5.0,-48.3,-39.3
NVDA,C2,2018-07-16,-8.6,-37.4,-32.6
NVDA,C2,2018-08-13,-32.8,-35.6,-34.6
NVDA,C2,2018-09-10,-47.0,-38.4,-33.9
NVDA,C2,2018-10-08,-39.6,-22.8,-24.2
NVDA,C2,2018-11-05,-27.9,-17.8,1.4
NVDA,C2,2020-04-13,39.7,89.1,118.0
NVDA,C2,2020-05-11,36.3,56.7,68.0
NVDA,C2,2020-06-08,36.2,45.8,99.8
NVDA,C2,2020-07-06,31.4,26.8,91.6
NVDA,C2,2020-08-03,30.1,21.4,82.1
NVDA,C2,2020-08-31,7.4,-1.2,81.2
NVDA,C2,2020-09-28,-0.0,5.8,59.0
NVDA,C2,2020-10-26,3.7,19.8,104.2
NVDA,C2,2020-11-23,3.4,22.6,137.8
NVDA,C2,2021-04-05,39.3,44.7,60.7
NVDA,C2,2021-07-12,20.4,48.4,-13.2
NVDA,C2,2021-08-09,50.6,18.7,-7.3
NVDA,C2,2021-09-06,34.4,-1.7,-35.9
NVDA,C2,2021-10-04,30.8,11.0,-42.0
NVDA,C2,2021-11-01,-18.3,-37.2,-52.4
NVDA,C2,2021-11-29,-25.3,-39.0,-45.0
NVDA,C2,2021-12-27,-9.2,-50.6,-50.3
NVDA,C2,2022-01-24,-18.8,-20.4,-10.8
NVDA,C2,2022-02-21,-22.1,-32.7,-3.5
NVDA,C2,2022-03-21,-38.1,-54.8,-3.2
NVDA,C2,2023-08-28,-3.6,69.6,146.2
NVDA,C2,2023-09-25,13.9,107.7,179.2
NVDA,C2,2023-10-23,50.7,116.7,249.6
NVDA,C2,2023-11-20,65.0,122.9,197.2
