ticker,R,date,year,kind,base_start,base_len,pos,rsi,wk_since_low,delisted,regime_spy_up,mad_med,pre_vol,contr8,vol_dry8,rsi_slope26,next_break,wk_to_break,ret13,exc13_SPY,mae13,ret26,exc26_SPY,mae26,ret52,exc52_SPY,mae52,trunc52,wk_to_comp,ret_to_comp,comp_before,divup_before,e1_before,id,dup_of
MBLY,2.0,2025-05-02,2025,CTRL,2024-07-26,41,0.34,45.8,33,False,False,0.0812,0.0801,0.46,0.68,-0.28,NONE,,-4.7,-14.7,-4.7,-10.0,-31.0,-10.0,-40.2,-68.8,-53.9,False,,,False,False,False,1ee92d5bce,
CRG,3.0,2016-06-17,2016,CTRL,2015-08-28,43,0.84,52.5,7,True,True,0.0543,25.7859,1.27,0.94,-0.0,UP,8.0,15.6,11.8,-52.7,26.6,16.4,-64.6,-63.8,-83.6,-64.6,False,9.0,14.1,False,False,False,94ea873c68,
NPO,2.0,2020-09-25,2020,CTRL,2020-01-31,35,0.86,54.7,27,False,True,0.1325,0.0438,0.09,1.07,1.05,UP,2.0,34.8,22.1,0.0,57.3,35.9,0.0,55.5,18.6,0.0,False,1.0,2.4,True,False,False,0c1c6d713a,
BOH,2.0,2009-08-14,2009,CTRL,2009-01-02,33,0.84,42.3,23,False,False,0.054,,0.82,0.76,1.29,UP,11.0,10.4,1.1,-3.2,7.5,-0.8,-3.2,21.3,11.8,-3.2,False,14.0,13.3,False,False,False,e277de0133,
QRVO,2.0,2025-01-24,2025,CTRL,2022-03-04,152,0.36,52.3,10,False,True,0.0743,0.0373,0.2,1.42,-0.72,DOWN,10.0,-28.3,-19.1,-36.7,-4.1,-9.5,-36.7,-9.0,-23.7,-36.7,False,,,False,False,False,70c5cf109c,
TCO,1.5,2010-01-29,2010,CTRL,2009-07-24,28,0.41,45.8,27,True,True,0.0447,0.1213,1.1,0.59,-0.44,UP,5.0,38.4,27.3,0.0,32.2,28.6,0.0,69.0,47.7,0.0,False,3.0,17.5,False,False,False,d291065344,
LASR,3.0,2024-04-26,2024,CTRL,2021-12-31,122,0.21,45.2,26,False,True,0.1285,0.0733,0.27,0.76,-0.28,NONE,,6.3,-1.2,-5.4,-10.6,-25.2,-10.6,-32.3,-42.0,-42.5,False,,,False,False,True,e6b3ea2fd5,
RTEC,1.5,2018-09-28,2018,CTRL,2017-09-15,55,0.11,35.2,54,True,True,0.0739,0.0374,0.74,1.13,-0.94,DOWN,1.0,-18.0,-3.8,-24.3,-6.7,-4.9,-24.3,6.8,3.2,-24.3,False,,,True,False,False,746805a3c6,
POL_old,2.0,2012-10-26,2012,CTRL,2010-07-23,119,1.0,70.6,114,True,True,0.0887,0.0941,0.16,0.77,0.81,UP,1.0,21.3,14.3,-0.5,21.4,8.1,-0.5,68.4,41.2,-0.5,False,,,True,False,False,5a8518b476,
SPWH,1.5,2021-07-30,2021,CTRL,2020-12-18,33,0.95,56.9,32,False,True,0.0068,0.0955,0.37,0.89,0.01,DOWN,19.0,-2.3,-7.4,-2.3,-39.8,-41.2,-40.2,-44.2,-39.5,-50.1,False,1.0,0.8,True,False,False,e39e83b8ed,
FB_old,1.5,2014-05-30,2014,CTRL,2013-11-29,27,0.71,59.1,26,True,True,0.0679,0.0695,0.32,1.07,-0.78,UP,8.0,18.2,13.5,-1.3,22.7,14.2,-1.3,25.1,13.4,-1.3,False,1.0,-1.3,False,False,False,14c3c8378e,
DXPE,2.0,2018-08-10,2018,CTRL,2016-11-11,92,1.0,69.9,91,False,True,0.1004,0.1335,0.3,0.72,0.39,UP,2.0,-14.5,-13.1,-31.6,-31.2,-27.7,-40.0,-29.8,-34.9,-40.0,False,1.0,-0.4,True,False,False,bb3e34975b,
GLXY,3.0,2026-03-27,2026,CTRL,2025-04-25,49,0.13,40.0,48,False,False,0.1435,0.1171,0.24,0.68,-0.96,NONE,,62.6,47.3,-2.0,44.8,22.2,-2.0,,,,,11.0,85.3,True,False,False,55b23c9864,
CHUY,1.5,2013-12-27,2013,CTRL,2013-03-01,44,0.58,52.7,43,True,True,0.06,0.077,0.6,0.9,-0.72,NONE,,12.1,10.8,-1.4,-2.8,-10.3,-12.7,-46.8,-62.4,-46.8,False,8.0,7.8,True,False,False,18bcc45db1,
NG,1.5,2021-01-01,2021,CTRL,2020-04-03,40,0.35,46.2,28,False,True,0.0996,0.0818,0.23,0.67,-0.02,DOWN,8.0,-3.7,-11.2,-14.5,-11.6,-28.3,-17.2,-29.1,-57.8,-31.7,False,,,True,False,False,2a162c85c8,
RAX,2.0,2014-11-07,2014,CTRL,2013-11-01,54,0.46,55.7,26,True,True,0.0646,0.0599,0.8,0.86,0.16,UP,17.0,26.9,25.2,0.0,44.3,39.2,0.0,-24.4,-29.8,-35.2,False,1.0,15.5,False,True,True,67331f37d9,
