ticker,tier,multiple,hold_pnl,income_total,income_yield_pct,cycles,cycle_win_pct,worst_cycle,yearly_min,overlay_vs_hold_pct
NVDA,WINNER,44.87,19829.0,1885.0,4.14,92,79.3,-324.0,-120.0,9.5
AMD,WINNER,31.38,47996.0,2938.0,3.27,79,75.9,-452.0,-736.0,6.1
AVGO,WINNER,17.71,34989.0,4738.0,5.58,78,83.3,-780.0,-196.0,13.5
MRVL,WINNER,8.23,16576.0,527.0,1.17,80,73.8,-268.0,-481.0,3.2
MU,WINNER,20.72,80798.0,571.0,0.66,57,73.7,-267.0,-387.0,0.7
TSM,WINNER,10.43,36018.0,4675.0,4.72,90,90.0,-520.0,-222.0,13.0
ASML,WINNER,9.13,155626.0,10482.0,2.16,69,82.6,-2746.0,-2061.0,6.7
AMAT,WINNER,12.95,48876.0,2683.0,2.53,75,82.7,-489.0,-267.0,5.5
LRCX,WINNER,19.11,29691.0,1607.0,2.93,74,82.4,-277.0,-235.0,5.4
KLAC,WINNER,19.49,20184.0,1323.0,3.34,69,85.5,-152.0,-43.0,6.6
QCOM,MID,3.26,11913.0,177.0,0.18,63,81.0,-761.0,-790.0,1.5
SNPS,MID,3.76,28197.0,752.0,0.29,95,86.3,-2380.0,-2719.0,2.7
CDNS,WINNER,7.33,28509.0,1416.0,0.94,96,85.4,-1123.0,-830.0,5.0
CRDO,WINNER,24.54,19442.0,1203.0,5.11,43,62.8,-238.0,56.0,6.2
MPWR,WINNER,9.97,118035.0,7531.0,1.96,91,78.0,-2448.0,-2884.0,6.4
ON,MID,3.83,6456.0,560.0,1.42,60,71.7,-344.0,-114.0,8.7
INTC,MID,2.99,6326.0,450.0,1.23,56,82.1,-133.0,-103.0,7.1
COHR,WINNER,6.14,23236.0,-558.0,-0.96,35,57.1,-594.0,-594.0,-2.4
LITE,WINNER,10.88,66547.0,-293.0,-0.3,62,67.7,-542.0,-542.0,-0.4
CIEN,WINNER,14.68,34891.0,664.0,1.01,85,78.8,-794.0,-368.0,1.9
ANET,WINNER,8.58,14896.0,1662.0,4.15,80,77.5,-277.0,-279.0,11.2
SMCI,WINNER,12.24,2221.0,220.0,1.4,64,70.3,-136.0,-14.0,9.9
DELL,WINNER,19.69,37621.0,1345.0,2.37,67,85.1,-324.0,-69.0,3.6
HPE,WINNER,4.18,3485.0,-5.0,-0.04,86,75.6,-77.0,-78.0,-0.1
VRT,WINNER,20.41,27538.0,1396.0,3.16,74,73.0,-489.0,-258.0,5.1
STX,WINNER,21.16,75044.0,853.0,0.94,74,79.7,-447.0,-235.0,1.1
WDC,WINNER,6.5,40375.0,-230.0,-0.4,39,69.2,-136.0,-202.0,-0.6
P,MID,3.7,5061.0,236.0,0.91,57,68.4,-173.0,-228.0,4.7
