ticker,signal,date,price,fwd13w,fwd26w,fwd52w,exc13w,exc26w,exc52w,mae26w
A,BREAKOUT,2019-12-02,78.32,-4.2,10.5,41.3,0.8,7.9,21.5,-19.0
A,BOTTOM,2022-10-31,132.34,13.7,-1.7,-19.3,3.7,-12.3,-36.6,-2.9
AA,BOTTOM,2020-11-02,13.75,45.1,185.3,232.2,33.9,163.9,196.5,0.0
AA,BREAKOUT,2020-11-30,22.59,22.2,63.7,86.1,18.0,48.5,61.8,-24.1
AA,BREAKOUT,2025-12-01,43.63,36.3,64.8,,37.9,56.6,,0.0
AAL,BOTTOM,2020-01-13,28.3,-59.1,-57.9,-44.3,-46.0,-55.8,-59.6,-68.1
AAL,BOTTOM,2020-03-16,10.38,54.1,27.1,140.6,18.7,-18.7,67.6,-12.9
AAL,BREAKOUT,2021-02-22,20.94,15.8,-3.4,-16.6,5.0,-22.6,-33.2,-11.7
AAL,BOTTOM,2023-02-20,15.56,-7.8,-6.3,-2.8,-14.1,-18.1,-32.8,-17.8
AAL,BREAKOUT,2024-12-02,17.4,-25.1,-32.3,-14.9,-20.2,-31.5,-29.1,-45.6
AAL,BOTTOM,2025-10-06,11.52,38.8,-1.7,,32.2,-6.4,,-10.6
AAMI,BREAKOUT,2020-06-22,11.73,7.5,60.1,101.9,-2.5,36.1,57.6,0.0
AAOI,BOTTOM,2019-12-02,10.37,-15.2,-3.8,-18.5,-10.2,-6.3,-38.2,-41.1
AAOI,BOTTOM,2020-10-12,10.98,-1.7,-28.1,-34.2,-10.4,-49.2,-64.4,-30.9
AAOI,BREAKOUT,2023-06-12,4.85,102.9,347.9,107.8,101.6,340.3,83.0,-10.5
AAOI,BREAKOUT,2024-11-04,27.76,6.7,-47.2,2.9,5.9,-42.1,-10.6,-61.6
AAOI,BOTTOM,2025-05-26,15.42,56.9,73.7,927.3,47.2,57.1,897.5,0.0
AAOI,BOTTOM,2025-12-01,26.59,259.5,565.7,,261.1,557.5,,0.0
AAOI,BREAKOUT,2025-12-29,39.6,162.4,205.4,,166.1,195.8,,-14.0
AAON,BREAKOUT,2018-01-01,24.15,-9.9,-6.8,-5.5,-5.2,-8.4,0.4,-22.3
AAON,BREAKOUT,2023-12-11,70.4,16.1,7.0,85.3,7.1,-9.0,55.4,-1.6
AAON,BOTTOM,2026-01-19,94.28,5.6,,,1.7,,,-15.2
AAON,BREAKOUT,2026-05-04,139.56,,,,,,,-22.9
AAP,BREAKOUT,2018-06-04,114.78,27.1,27.3,18.1,23.2,31.7,12.7,0.0
AAP,BOTTOM,2024-04-22,71.61,-18.8,-50.6,-55.2,-26.3,-65.2,-64.9,-50.6
AAP,BREAKOUT,2025-07-07,61.33,-20.5,-29.2,-5.5,-25.5,-41.1,-27.9,-37.5
AAPL,BREAKOUT,2019-09-30,54.51,31.4,6.9,101.1,21.3,21.7,85.5,0.0
AAPL,BREAKOUT,2023-05-01,170.93,5.0,2.1,6.2,-3.7,-4.1,-19.5,-2.8
AAT,BOTTOM,2023-03-06,16.16,2.0,6.9,13.1,-9.9,-9.4,-21.5,-13.6
AAT,BOTTOM,2023-07-24,18.61,-19.7,8.7,19.9,-9.9,1.3,-1.0,-19.7
AAT,BOTTOM,2025-10-20,18.99,-8.3,8.5,,-10.3,2.5,,-8.3
AAT,BREAKOUT,2026-04-13,20.51,24.4,,,19.5,,,-0.2
AB,BOTTOM,2020-03-23,10.97,39.1,53.7,133.3,20.2,22.9,74.5,-7.4
AB,BREAKOUT,2020-10-12,20.31,9.1,27.9,72.3,0.5,6.8,42.1,-9.7
AB,BOTTOM,2023-03-20,25.25,-3.2,-2.8,10.0,-13.1,-12.3,-23.6,-6.4
ABBV,BREAKOUT,2024-01-01,147.65,5.8,5.1,15.9,-5.3,-14.2,-12.3,-1.3
ABBV,BREAKOUT,2026-06-22,251.56,,,,,,,-2.1
ABCB,BOTTOM,2019-09-02,31.8,23.9,-7.5,-26.8,17.8,-8.2,-44.0,-7.5
ABCB,BREAKOUT,2019-11-04,40.33,-7.1,-46.7,-32.2,-15.2,-42.4,-47.8,-53.1
ABCB,BREAKOUT,2023-12-11,50.54,-12.4,-9.8,29.2,-21.3,-25.8,-0.7,-12.9
ABCB,BREAKOUT,2024-07-08,53.32,15.6,9.6,25.2,11.7,5.3,12.5,0.0
ABCB,BREAKOUT,2025-08-18,71.31,3.3,16.9,,0.9,9.4,,-1.4
ABCL,BOTTOM,2022-10-24,11.71,-8.1,-42.1,-66.6,-12.9,-49.9,-73.8,-42.1
ABCL,BOTTOM,2025-08-25,4.18,-10.8,-13.6,,-17.0,-20.6,,-27.3
ABCL,BREAKOUT,2026-05-25,6.17,,,,,,,-15.1
ABEO,BOTTOM,2018-08-27,385.0,-46.8,-50.6,-90.0,-42.1,-48.2,-92.7,-58.0
ABEO,BOTTOM,2020-03-02,68.0,7.4,-27.2,-26.1,-0.6,-43.6,-57.5,-36.0
ABEO,BOTTOM,2023-09-11,4.03,20.8,114.1,38.5,14.6,98.3,10.4,-7.9
ABEO,BREAKOUT,2025-06-02,6.74,2.2,-27.7,-19.0,-6.1,-42.8,-43.5,-37.7
ABEO,BOTTOM,2026-06-08,5.53,,,,,,,0.0
ABG,BOTTOM,2022-05-09,191.98,-3.7,-5.7,3.9,-10.5,-5.7,-0.3,-25.4
ABG,BREAKOUT,2023-01-23,214.84,-10.0,2.4,-0.4,-12.9,-11.1,-22.4,-10.0
ABG,BREAKOUT,2024-07-08,247.98,-10.0,-4.1,6.1,-13.8,-8.4,-6.6,-10.6
ABM,BOTTOM,2018-11-26,27.0,14.3,15.6,22.3,12.0,14.7,6.1,-18.2
ABM,BREAKOUT,2020-11-23,35.54,8.6,25.9,18.4,3.6,9.6,-9.5,-7.6
ABM,BREAKOUT,2022-04-18,48.87,-19.4,-21.2,-19.5,-12.5,-9.8,-17.9,-28.3
ABNB,BREAKOUT,2024-02-26,159.72,-9.3,-26.6,-13.1,-12.4,-37.2,-30.4,-27.9
ABR,BOTTOM,2020-10-19,6.35,26.2,51.9,80.7,15.0,30.5,47.8,-0.6
ABR,BOTTOM,2023-04-10,6.91,57.9,46.3,33.8,48.5,41.0,8.1,0.0
ABSI,BREAKOUT,2023-12-25,4.2,35.2,-26.7,-34.0,24.8,-41.9,-60.8,-28.1
ABSI,BOTTOM,2024-07-22,4.48,-9.2,-10.7,-35.5,-15.8,-23.1,-54.0,-42.9
ABSI,BOTTOM,2025-03-24,2.7,-3.0,1.1,3.0,-14.0,-18.7,-12.5,-15.6
ABSI,BOTTOM,2025-12-15,3.38,-12.4,119.2,,-8.0,108.9,,-29.6
ABSI,BREAKOUT,2026-04-27,4.92,,,,,,,0.0
ABT,BREAKOUT,2021-08-30,116.99,1.4,-5.1,-19.2,1.0,-1.2,-7.0,-9.1
ABT,BREAKOUT,2023-07-17,107.37,-14.9,1.4,-8.9,-8.3,-6.1,-32.0,-20.1
ABTC,BREAKOUT,2019-06-10,315000.0,-18.9,11.2,1.5,-23.5,0.5,-5.8,-59.6
ABTC,BOTTOM,2019-07-22,341100.0,-54.2,-22.8,-43.8,-54.5,-32.7,-52.2,-62.7
ABTC,BOTTOM,2021-03-15,162600.0,-22.9,-45.2,-80.4,-29.8,-59.3,-96.1,-45.2
ABTC,BOTTOM,2025-07-28,78.75,-3.0,-71.2,,-13.1,-83.2,,-71.2
ABTC,BOTTOM,2025-10-06,89.25,-69.2,-84.0,,-75.8,-88.6,,-85.5
ABVX,BOTTOM,2025-07-07,8.27,1033.9,1283.3,1591.7,1028.9,1271.4,1569.3,0.0
ABVX,BREAKOUT,2025-07-21,66.49,36.5,83.7,,29.9,74.9,,0.0
ABVX,BREAKOUT,2026-06-29,144.65,,,,,,,-5.5
ABX,BOTTOM,2023-07-31,6.07,5.9,96.0,53.5,8.3,84.5,32.6,-2.6
ABX,BREAKOUT,2024-01-08,10.78,8.7,-22.8,-37.7,1.2,-41.0,-61.1,-22.8
ACA,BOTTOM,2020-03-16,30.55,31.2,46.1,96.7,-4.3,0.3,23.8,0.0
ACA,BREAKOUT,2020-08-31,47.26,14.0,23.3,5.7,5.6,10.3,-28.5,-9.8
ACA,BREAKOUT,2023-04-24,67.06,11.6,-0.7,14.8,1.4,-0.2,-9.2,-0.7
ACA,BREAKOUT,2025-12-08,110.7,-4.6,16.9,,-2.0,7.5,,-9.1
ACAD,BREAKOUT,2019-02-25,26.6,-9.8,4.0,60.7,-8.4,-1.3,53.0,-12.3
ACAD,BREAKOUT,2020-06-15,52.03,-18.5,6.2,-50.0,-26.0,-14.4,-86.4,-29.6
ACAD,BOTTOM,2020-10-12,42.61,25.9,-50.4,-58.9,17.3,-71.4,-89.1,-52.1
ACGL,BOTTOM,2021-02-08,33.42,14.3,18.9,32.5,7.9,4.5,18.8,-0.2
ACGL,BREAKOUT,2022-10-24,53.9,13.0,32.4,43.5,8.3,24.6,36.3,0.0
ACHC,BOTTOM,2019-04-01,31.04,11.5,-3.8,-50.0,7.6,-6.8,-37.7,-14.9
ACHC,BOTTOM,2019-08-05,28.77,6.8,14.8,7.9,0.4,-0.2,-9.1,-8.1
