ticker,bottom_date,breakout_date,weeks_to_breakout,head_start_pct,bottom_fwd26w,breakout_fwd26w
AA,2020-11-02,2020-11-30,4.0,64.3,185.3,63.7
AAL,2020-03-16,2021-02-22,49.0,101.7,27.1,-3.4
AAOI,2025-05-26,2025-12-29,31.0,156.8,73.7,205.4
AAOI,2025-12-01,2025-12-29,4.0,48.9,565.7,205.4
AAON,2026-01-19,2026-05-04,15.0,48.0,,
AAT,2025-10-20,2026-04-13,25.0,8.0,8.5,
AB,2020-03-23,2020-10-12,29.0,85.1,53.7,27.9
ABCB,2019-09-02,2019-11-04,9.0,26.8,-7.5,-46.7
ABCL,2025-08-25,2026-05-25,39.0,47.6,-13.6,
ABG,2022-05-09,2023-01-23,37.0,11.9,-5.7,2.4
ABSI,2025-12-15,2026-04-27,19.0,45.6,119.2,
ABVX,2025-07-07,2025-07-21,2.0,704.0,1283.3,83.7
ABX,2023-07-31,2024-01-08,23.0,77.6,96.0,-22.8
ACA,2020-03-16,2020-08-31,24.0,54.7,46.1,23.3
ACHC,2020-09-14,2020-10-26,6.0,21.1,94.3,70.9
ACMR,2019-07-29,2020-01-06,23.0,47.8,117.1,245.5
ADAM,2024-10-21,2025-02-24,18.0,38.7,15.0,9.5
ADBE,2023-02-06,2023-06-05,17.0,22.4,37.1,34.4
ADEA,2020-09-07,2020-11-30,12.0,75.1,113.0,12.7
ADNT,2019-06-24,2020-02-03,32.0,10.9,-12.4,-43.2
ADP,2020-06-15,2020-12-14,26.0,21.7,21.7,8.7
ADT,2020-02-17,2020-07-27,23.0,24.8,66.2,5.7
ADTN,2024-09-02,2024-11-04,9.0,60.0,81.4,-4.6
ADUR,2026-02-02,2026-05-25,16.0,45.3,,
AEHR,2019-06-24,2019-11-11,20.0,35.2,21.2,-32.3
AEO,2023-04-24,2023-08-28,18.0,30.7,31.7,40.7
AFRM,2025-01-20,2025-08-25,31.0,58.7,20.4,-46.9
AG,2024-12-02,2025-06-02,26.0,36.1,36.1,82.1
AGCO,2020-06-15,2020-10-05,16.0,48.9,90.4,83.2
AGEN,2019-02-18,2019-11-11,38.0,28.7,-3.5,-36.0
AGI,2018-07-16,2019-06-17,48.0,10.1,-30.1,-13.0
AGO,2020-06-15,2021-02-22,36.0,80.4,24.8,16.3
AGYS,2020-03-16,2020-11-16,35.0,188.0,81.6,20.6
AI,2024-04-01,2024-11-18,33.0,48.7,-4.3,-39.3
AIP,2023-07-10,2024-04-29,42.0,9.2,-30.5,-16.2
AKTX,2020-10-12,2021-01-11,13.0,81.2,23.3,-48.9
ALAB,2025-10-20,2026-05-18,30.0,86.0,29.0,
ALGT,2020-06-08,2020-11-30,25.0,59.9,54.6,20.2
ALGT,2020-10-19,2020-11-30,6.0,27.0,69.3,20.2
ALHC,2023-12-11,2024-07-08,30.0,11.9,4.9,33.9
ALLY,2023-09-04,2023-12-11,14.0,26.2,36.6,12.9
ALM,2018-01-15,2018-06-11,21.0,23.1,57.0,-5.4
ALM,2018-09-17,2019-04-22,31.0,33.8,8.0,-34.3
ALMU,2026-03-09,2026-04-27,7.0,72.7,,
ALNY,2019-06-24,2019-11-18,21.0,47.3,62.0,31.4
ALOY,2021-06-14,2021-09-06,12.0,98.4,9.6,-62.3
AMBA,2025-07-28,2025-08-25,4.0,29.4,0.5,-26.8
AMD,2018-12-03,2019-07-08,31.0,70.7,66.5,45.0
AMD,2023-03-06,2023-05-22,11.0,53.7,28.3,-3.7
AMG,2020-06-15,2020-11-23,23.0,21.2,33.2,80.0
AMKR,2019-03-25,2019-09-30,27.0,15.8,4.2,-25.2
AMKR,2020-03-16,2020-07-27,19.0,95.7,61.9,14.4
AMLX,2025-02-17,2025-07-07,20.0,132.7,181.8,59.0
AMN,2025-12-22,2026-05-04,19.0,79.9,103.5,
AMPG,2024-04-15,2024-12-23,36.0,148.3,-63.6,-63.0
AMPG,2025-10-27,2026-05-18,29.0,40.0,-43.1,
AMR,2022-07-11,2023-02-27,33.0,48.2,26.9,17.2
AMR,2022-12-12,2023-02-27,11.0,25.9,9.1,17.2
AMR,2024-12-30,2025-12-15,50.0,5.6,-40.8,-10.7
AMTB,2023-08-21,2024-07-15,47.0,41.3,18.7,-13.2
ANAB,2021-08-23,2021-11-01,10.0,46.2,24.0,-38.8
ANDE,2025-09-08,2025-11-03,8.0,25.9,77.4,42.8
ANGI,2020-10-26,2021-03-08,19.0,59.2,51.0,-37.7
