date,ticker,theme,event,close,dd_pct,state
2026-07-22,WDC,ai,NEW-BOTTOM,548.39,-26.5,Uptrend
2026-07-22,MDB,ai,TREND-REPAIRED,307.65,-29.4,Mixed
2026-07-22,LMT,defense,TREND-BROKEN,507.09,-24.0,Mixed
2026-07-22,VKTX,health,TREND-REPAIRED,37.95,-5.2,Mixed
2026-07-22,URA,etf,TREND-BROKEN,40.25,-29.4,Mixed
2026-07-25,MDB,ai,TREND-BROKEN,298.22,-31.6,Mixed
2026-07-25,LMT,defense,TREND-REPAIRED,582.6,-12.7,Mixed
2026-08-01,CRWV,ai,TREND-BROKEN,71.77,-48.2,Uptrend
2026-08-01,NOW,ai,NEW-BOTTOM,111.23,-42.1,Uptrend
2026-08-01,MDB,ai,TREND-REPAIRED,337.48,-22.6,Mixed
2026-08-01,BWXT,grid,TREND-BROKEN,168.7,-28.4,Mixed
2026-08-01,IGV,etf,BRAKE-OFF,94.58,-19.3,Mixed
2026-08-08,IOT,ai,TREND-REPAIRED,40.88,-9.6,Uptrend
2026-08-08,TLN,grid,TREND-BROKEN,347.71,-20.7,Uptrend
2026-08-08,CCJ,grid,TREND-BROKEN,97.39,-21.5,Mixed
2026-08-08,AMSC,grid,TREND-BROKEN,32.76,-46.8,Mixed
2026-08-08,ZBRA,robotics,TREND-REPAIRED,376.49,0.0,Mixed
2026-08-08,A,health,TREND-REPAIRED,145.97,-4.3,Downtrend
2026-08-08,NTLA,health,NEW-BOTTOM,11.94,-53.4,Uptrend
2026-08-08,GLXY,outlier,TREND-BROKEN,20.17,-49.3,Mixed
2026-08-15,TLN,grid,TREND-REPAIRED,362.74,-17.3,Uptrend
2026-08-15,MEDP,health,TREND-REPAIRED,578.5,-5.3,Downtrend
2026-08-15,CRSP,health,NEW-BOTTOM,53.55,-26.7,Uptrend
2026-08-22,SMCI,ai,NEW-BOTTOM,37.24,-29.5,Uptrend
2026-08-22,TLN,grid,TREND-BROKEN,314.46,-28.3,Uptrend
2026-08-22,FLNC,grid,TREND-BROKEN,11.34,-63.1,Mixed
2026-08-22,ALB,grid,TREND-BROKEN,143.25,-29.4,Uptrend
2026-08-22,AMBA,robotics,NEW-BOTTOM,73.73,-17.8,Uptrend
2026-08-22,ASTS,defense,TREND-BROKEN,68.65,-40.7,Uptrend
2026-08-22,SDGR,health,TREND-REPAIRED,19.71,-12.5,Downtrend
2026-08-22,TMO,health,TREND-REPAIRED,629.27,0.0,Downtrend
